Model,Train R²,Test R²,Train MAE,Test MAE,Train RMSE,Test RMSE,Train MAPE,Test MAPE
XGBoost,0.9167,0.8831,0.3057,0.3583,0.4163,0.4941,7.89,9.71
Random Forest,0.9184,0.8602,0.2974,0.3938,0.4121,0.5404,8.21,11.2
Linear Regression,0.8167,0.8297,0.4538,0.4439,0.6176,0.5965,12.24,12.07
Ridge Regression,0.8167,0.8297,0.4537,0.4439,0.6176,0.5965,12.24,12.07
