Feature,Importance,Importance_norm
GHI_7DAY_MEAN,226.05101013183594,0.43724140812956513
GHI_LAG1,68.28651428222656,0.13208386745808834
CLOUD_AMT,40.091651916503906,0.07754767531447428
MONTH_COS,31.154874801635742,0.06026162555267004
IS_MONSOON,23.891414642333984,0.0462122057067075
log1p_PREC,11.365657806396484,0.021984136326970112
CITY_Mangalore,9.857895851135254,0.019067732812302694
MONTH_SIN,8.997187614440918,0.017402899369702893
T2M_MAX,7.700078964233398,0.014893954099416306
CITY_Delhi,7.645594596862793,0.014788567171499999
CITY_Kochi,7.615067005157471,0.014729518874497236
CLOUD_LAG1,6.962920188903809,0.013468097427719964
WIND_CLOUD,5.861865043640137,0.011338370593663279
CITY_Mumbai,5.7103681564331055,0.011045336237165531
CITY_Bengaluru,5.120596408843994,0.009904564385535658
CITY_Chandigarh,4.9601616859436035,0.009594241931710162
DAY_OF_YEAR,4.0160136222839355,0.007768014176317284
CITY_Chennai,3.7610862255096436,0.007274918330953054
PS,3.5968029499053955,0.006957151775893442
RH2M_LAG1,3.524003028869629,0.006816337806662182
CITY_Hyderabad,3.4446632862091064,0.006662874122596837
CITY_Jaipur,3.4220616817474365,0.006619156745023322
CITY_Kolkata,3.328294038772583,0.006437785751691311
RH2M,2.9247946739196777,0.005657313103660342
CITY_Guwahati,2.8599257469177246,0.005531839738291853
CITY_Ahmedabad,2.722048759460449,0.005265149807955677
CITY_Bhubaneswar,2.698251247406006,0.005219119234260844
TEMP_RANGE,2.6744370460510254,0.005173056379120935
CITY_Bhopal,2.6464686393737793,0.005118958211138553
WS10M,2.525815486907959,0.0048855836544459755
CITY_Pune,1.576075553894043,0.0030485397702992288
