city,month,month_num,P10,P50,P90
Jaipur,Jun,6,4.654,6.437,7.457
Jaipur,Jul,7,2.923,5.358,6.571
Jaipur,Aug,8,2.833,4.626,6.129
Jaipur,Sep,9,3.573,5.055,5.977
Jaipur,Oct,10,4.07,5.081,5.781
Jaipur,Nov,11,3.159,3.97,4.594
Jaipur,Dec,12,2.692,3.841,4.298
Kochi,Jan,1,4.552,5.856,6.308
Kochi,Feb,2,5.581,6.453,6.921
Kochi,Mar,3,5.81,6.73,7.18
Kochi,Apr,4,5.193,6.492,7.062
Kochi,May,5,2.82,5.482,6.265
Kochi,Jun,6,3.055,4.986,6.074
Kochi,Jul,7,2.719,4.6,5.831
Kochi,Aug,8,2.906,4.895,6.345
Kochi,Sep,9,3.41,5.052,6.32
Kochi,Oct,10,3.539,5.161,6.178
Kochi,Nov,11,3.22,4.941,5.788
Kochi,Dec,12,3.456,5.217,5.922
Kolkata,Jan,1,2.26,3.598,4.268
Kolkata,Feb,2,2.904,4.557,5.185
Kolkata,Mar,3,3.755,5.265,6.124
Kolkata,Apr,4,4.375,5.986,6.616
Kolkata,May,5,3.846,5.958,6.86
Kolkata,Jun,6,2.632,4.767,6.284
Kolkata,Jul,7,3.033,4.75,5.72
Kolkata,Aug,8,2.182,4.054,5.402
Kolkata,Sep,9,2.042,4.387,5.365
Kolkata,Oct,10,2.582,4.429,5.131
Kolkata,Nov,11,3.174,4.074,4.719
Kolkata,Dec,12,2.325,3.458,3.905
Mangalore,Jan,1,4.462,5.501,5.966
Mangalore,Feb,2,5.531,6.172,6.653
Mangalore,Mar,3,5.79,6.561,6.98
Mangalore,Apr,4,5.562,6.713,7.112
Mangalore,May,5,3.027,5.918,6.812
Mangalore,Jun,6,2.162,4.215,6.087
Mangalore,Jul,7,1.435,3.732,5.905
Mangalore,Aug,8,2.226,4.884,6.318
Mangalore,Sep,9,3.032,5.248,6.294
Mangalore,Oct,10,3.067,5.155,6.084
Mangalore,Nov,11,3.418,4.976,5.632
Mangalore,Dec,12,3.915,4.987,5.596
Mumbai,Jan,1,3.873,4.798,5.267
Mumbai,Feb,2,5.1,5.688,6.291
Mumbai,Mar,3,5.484,6.524,6.969
Mumbai,Apr,4,6.12,6.884,7.332
Mumbai,May,5,6.198,7.132,7.567
Mumbai,Jun,6,2.666,5.518,6.741
Mumbai,Jul,7,1.626,3.5,5.646
Mumbai,Aug,8,1.627,4.31,5.854
Mumbai,Sep,9,2.318,4.359,5.802
Mumbai,Oct,10,3.986,5.217,5.835
Mumbai,Nov,11,3.992,4.544,5.144
Mumbai,Dec,12,3.451,4.146,4.759
Pune,Jan,1,4.052,4.937,5.427
Pune,Feb,2,5.184,5.775,6.406
Pune,Mar,3,5.225,6.566,7.161
Pune,Apr,4,5.933,6.865,7.529
Pune,May,5,5.422,6.957,7.711
Pune,Jun,6,2.754,4.962,6.462
Pune,Jul,7,1.75,3.089,4.774
Pune,Aug,8,2.056,3.485,4.882
Pune,Sep,9,2.401,3.723,5.323
Pune,Oct,10,3.238,5.019,5.761
Pune,Nov,11,3.762,4.668,5.239
Pune,Dec,12,3.479,4.39,4.861
